	location	variant	median_ga	ga_upper_80	ga_lower_80
0	USA	B.1.1.529	1.361368	1.361368	1.361368
1	USA	BA.1	0.647601	0.647601	0.647601
2	USA	BA.1.1	0.67734087	0.67734087	0.67734087
3	USA	BA.1.1.1	0.67577994	0.67577994	0.67577994
4	USA	BA.1.1.10	0.7585253	0.7585253	0.7585253
5	USA	BA.1.1.14	0.68747836	0.68747836	0.68747836
6	USA	BA.1.1.16	0.72605366	0.72605366	0.72605366
7	USA	BA.1.1.18	0.63906026	0.63906026	0.63906026
8	USA	BA.1.1.2	0.6186259	0.6186259	0.6186259
9	USA	BA.1.15	0.6347995	0.6347995	0.6347995
10	USA	BA.1.15.2	0.6850354	0.6850354	0.6850354
11	USA	BA.1.17.2	0.69048846	0.69048846	0.69048846
12	USA	BA.1.18	0.6864977	0.6864977	0.6864977
13	USA	BA.1.20	0.65323865	0.65323865	0.65323865
14	USA	BA.2.1	1.0614669	1.0614669	1.0614669
15	USA	BA.2.10	0.8854682	0.8854682	0.8854682
16	USA	BA.2.10.1	0.9031741	0.9031741	0.9031741
17	USA	BA.2.12	1.2101667	1.2101667	1.2101667
18	USA	BA.2.12.1	1.2195985	1.2195985	1.2195985
19	USA	BA.2.13	1.2680465	1.2680465	1.2680465
20	USA	BA.2.13.1	1.2680465	1.2680465	1.2680465
21	USA	BA.2.16	1.0	1.0	1.0
22	USA	BA.2.18	1.0614669	1.0614669	1.0614669
23	USA	BA.2.20	1.0614669	1.0614669	1.0614669
24	USA	BA.2.21	1.0614669	1.0614669	1.0614669
25	USA	BA.2.22	1.0614669	1.0614669	1.0614669
26	USA	BA.2.23	1.0871167	1.0871167	1.0871167
27	USA	BA.2.23.1	1.0871167	1.0871167	1.0871167
28	USA	BA.2.26	1.0614669	1.0614669	1.0614669
29	USA	BA.2.3	0.99007624	0.99007624	0.99007624
30	USA	BA.2.3.10	0.99007624	0.99007624	0.99007624
31	USA	BA.2.3.14	0.99007624	0.99007624	0.99007624
32	USA	BA.2.3.17	0.99007624	0.99007624	0.99007624
33	USA	BA.2.3.2	1.1275476	1.1275476	1.1275476
34	USA	BA.2.3.20	2.3785481	2.3785481	2.3785481
35	USA	BA.2.3.4	0.99007624	0.99007624	0.99007624
36	USA	BA.2.3.6	0.99007624	0.99007624	0.99007624
37	USA	BA.2.31	1.0381469	1.0381469	1.0381469
38	USA	BA.2.32	1.0614669	1.0614669	1.0614669
39	USA	BA.2.36	1.0614669	1.0614669	1.0614669
40	USA	BA.2.37	1.0614669	1.0614669	1.0614669
41	USA	BA.2.38	1.3484251	1.3484251	1.3484251
42	USA	BA.2.40.1	1.185163	1.185163	1.185163
43	USA	BA.2.41	1.0614669	1.0614669	1.0614669
44	USA	BA.2.47	1.0614669	1.0614669	1.0614669
45	USA	BA.2.48	1.0614669	1.0614669	1.0614669
46	USA	BA.2.5	1.0614669	1.0614669	1.0614669
47	USA	BA.2.52	1.0614669	1.0614669	1.0614669
48	USA	BA.2.56	1.2680465	1.2680465	1.2680465
49	USA	BA.2.59	1.0614669	1.0614669	1.0614669
50	USA	BA.2.6	1.0614669	1.0614669	1.0614669
51	USA	BA.2.65	1.0614669	1.0614669	1.0614669
52	USA	BA.2.7	1.0614669	1.0614669	1.0614669
53	USA	BA.2.72	1.0614669	1.0614669	1.0614669
54	USA	BA.2.73	1.0614669	1.0614669	1.0614669
55	USA	BA.2.75	0.051925015	0.051925015	0.051925015
56	USA	BA.2.75.1	0.050065827	0.050065827	0.050065827
57	USA	BA.2.75.2	0.0642575	0.0642575	0.0642575
58	USA	BA.2.75.5	0.048186705	0.048186705	0.048186705
59	USA	BA.2.76	1.5653678	1.5653678	1.5653678
60	USA	BA.2.8	1.0614669	1.0614669	1.0614669
61	USA	BA.2.9	1.0108103	1.0108103	1.0108103
62	USA	BA.2.9.2	1.0108103	1.0108103	1.0108103
63	USA	BA.2.9.3	1.0108103	1.0108103	1.0108103
64	USA	BA.4	1.5758088	1.5758088	1.5758088
65	USA	BA.4.1	1.5674098	1.5674098	1.5674098
66	USA	BA.4.1.1	1.5674098	1.5674098	1.5674098
67	USA	BA.4.1.6	1.5674098	1.5674098	1.5674098
68	USA	BA.4.1.8	1.5674098	1.5674098	1.5674098
69	USA	BA.4.1.9	1.5674098	1.5674098	1.5674098
70	USA	BA.4.2	1.5758088	1.5758088	1.5758088
71	USA	BA.4.3	1.5815974	1.5815974	1.5815974
72	USA	BA.4.4	1.5815974	1.5815974	1.5815974
73	USA	BA.4.6	1.9104873	1.9104873	1.9104873
74	USA	BA.5	1.7963526	1.7963526	1.7963526
75	USA	BA.5.1	1.7963526	1.7963526	1.7963526
76	USA	BA.5.1.1	1.7963526	1.7963526	1.7963526
77	USA	BA.5.1.10	1.8393384	1.8393384	1.8393384
78	USA	BA.5.1.12	1.7963526	1.7963526	1.7963526
79	USA	BA.5.1.18	2.0617852	2.0617852	2.0617852
80	USA	BA.5.1.2	1.7963526	1.7963526	1.7963526
81	USA	BA.5.1.21	0.26363552	0.26363552	0.26363552
