	location	variant	median_ga	ga_upper_80	ga_lower_80
82	USA	BA.5.1.22	1.7963526	1.7963526	1.7963526
83	USA	BA.5.1.23	1.7963526	1.7963526	1.7963526
84	USA	BA.5.1.24	1.7963526	1.7963526	1.7963526
85	USA	BA.5.1.25	1.7963526	1.7963526	1.7963526
86	USA	BA.5.1.27	2.2475054	2.2475054	2.2475054
87	USA	BA.5.1.3	1.7963526	1.7963526	1.7963526
88	USA	BA.5.1.30	1.7963526	1.7963526	1.7963526
89	USA	BA.5.1.5	1.7963526	1.7963526	1.7963526
90	USA	BA.5.1.6	1.7963526	1.7963526	1.7963526
91	USA	BA.5.1.7	1.7963526	1.7963526	1.7963526
92	USA	BA.5.1.8	1.7963526	1.7963526	1.7963526
93	USA	BA.5.10.1	0.3484869	0.3484869	0.3484869
94	USA	BA.5.2	1.8212128	1.8212128	1.8212128
95	USA	BA.5.2.1	1.8212128	1.8212128	1.8212128
96	USA	BA.5.2.16	0.10882067	0.10882067	0.10882067
97	USA	BA.5.2.18	2.1979482	2.1979482	2.1979482
98	USA	BA.5.2.19	0.11594676	0.11594676	0.11594676
99	USA	BA.5.2.2	0.11594676	0.11594676	0.11594676
100	USA	BA.5.2.20	0.11594676	0.11594676	0.11594676
101	USA	BA.5.2.21	0.11594676	0.11594676	0.11594676
102	USA	BA.5.2.22	0.11594676	0.11594676	0.11594676
103	USA	BA.5.2.23	1.8212128	1.8212128	1.8212128
104	USA	BA.5.2.24	0.108820684	0.108820684	0.108820684
105	USA	BA.5.2.26	0.108820684	0.108820684	0.108820684
106	USA	BA.5.2.27	0.108820684	0.108820684	0.108820684
107	USA	BA.5.2.28	0.11594676	0.11594676	0.11594676
108	USA	BA.5.2.3	0.108820684	0.108820684	0.108820684
109	USA	BA.5.2.31	0.108820684	0.108820684	0.108820684
110	USA	BA.5.2.33	0.108820684	0.108820684	0.108820684
111	USA	BA.5.2.34	0.11594676	0.11594676	0.11594676
112	USA	BA.5.2.6	0.14005761	0.14005761	0.14005761
113	USA	BA.5.2.7	0.11594676	0.11594676	0.11594676
114	USA	BA.5.2.8	0.11594676	0.11594676	0.11594676
115	USA	BA.5.2.9	1.8212128	1.8212128	1.8212128
116	USA	BA.5.3	1.6210409	1.6210409	1.6210409
117	USA	BA.5.3.1	1.711668	1.711668	1.711668
118	USA	BA.5.5	1.6464916	1.6464916	1.6464916
119	USA	BA.5.5.1	1.6464916	1.6464916	1.6464916
120	USA	BA.5.5.2	1.6464916	1.6464916	1.6464916
121	USA	BA.5.5.3	1.6464916	1.6464916	1.6464916
122	USA	BA.5.6	1.7239653	1.7239653	1.7239653
123	USA	BA.5.6.1	1.9371914	1.9371914	1.9371914
124	USA	BA.5.6.2	0.27993828	0.27993828	0.27993828
125	USA	BA.5.8	1.6995759	1.6995759	1.6995759
126	USA	BA.5.9	1.7963526	1.7963526	1.7963526
127	USA	BE.1	1.7374033	1.7374033	1.7374033
128	USA	BE.1.1	0.2625179	0.2625179	0.2625179
129	USA	BE.1.1.1	0.11326863	0.11326863	0.11326863
130	USA	BE.1.1.2	0.22927786	0.22927786	0.22927786
131	USA	BE.1.2	2.0986922	2.0986922	2.0986922
132	USA	BE.1.4	1.790708	1.790708	1.790708
133	USA	BE.1.4.1	1.790708	1.790708	1.790708
134	USA	BE.2	1.711668	1.711668	1.711668
135	USA	BE.3	1.711668	1.711668	1.711668
136	USA	BE.4	1.9222833	1.9222833	1.9222833
137	USA	BE.5	1.711668	1.711668	1.711668
138	USA	BF.1	1.6226875	1.6226875	1.6226875
139	USA	BF.1.1	1.6226875	1.6226875	1.6226875
140	USA	BF.10	1.8212128	1.8212128	1.8212128
141	USA	BF.11	2.19993	2.19993	2.19993
142	USA	BF.13	1.8212128	1.8212128	1.8212128
143	USA	BF.14	1.8212128	1.8212128	1.8212128
144	USA	BF.16	1.8212128	1.8212128	1.8212128
145	USA	BF.21	1.7503301	1.7503301	1.7503301
146	USA	BF.24	1.8466091	1.8466091	1.8466091
147	USA	BF.25	1.8212128	1.8212128	1.8212128
148	USA	BF.26	1.8664434	1.8664434	1.8664434
149	USA	BF.27	1.7503301	1.7503301	1.7503301
150	USA	BF.28	1.8212128	1.8212128	1.8212128
151	USA	BF.3	1.8586062	1.8586062	1.8586062
152	USA	BF.4	1.8212128	1.8212128	1.8212128
153	USA	BF.5	1.8466091	1.8466091	1.8466091
154	USA	BF.6	1.8212128	1.8212128	1.8212128
155	USA	BF.7	2.2196488	2.2196488	2.2196488
156	USA	BF.7.4	2.2196488	2.2196488	2.2196488
157	USA	BF.8	1.8212128	1.8212128	1.8212128
158	USA	BF.9	1.8212128	1.8212128	1.8212128
159	USA	BG.2	1.2195985	1.2195985	1.2195985
160	USA	BG.4	1.2195985	1.2195985	1.2195985
161	USA	BG.5	1.2195985	1.2195985	1.2195985
162	USA	BK.1	1.8393384	1.8393384	1.8393384
163	USA	BM.1.1	2.2406614	2.2406614	2.2406614
164	USA	BN.1	0.05597447	0.05597447	0.05597447
165	USA	BQ.1	2.595908	2.595908	2.595908
166	USA	BQ.1.1	2.7864332	2.7864332	2.7864332
167	USA	BQ.1.1.3	2.7864332	2.7864332	2.7864332
168	USA	BQ.1.1.4	2.7864332	2.7864332	2.7864332
169	USA	BQ.1.1.5	2.7864332	2.7864332	2.7864332
170	USA	BQ.1.11	2.595908	2.595908	2.595908
171	USA	BQ.1.12	2.595908	2.595908	2.595908
172	USA	BQ.1.13	2.595908	2.595908	2.595908
173	USA	BQ.1.14	2.595908	2.595908	2.595908
174	USA	BQ.1.2	2.595908	2.595908	2.595908
175	USA	BQ.1.3	2.5959108	2.5959108	2.5959108
176	USA	BQ.1.6	2.5959108	2.5959108	2.5959108
177	USA	other	1.361368	1.361368	1.361368
