	location	variant	median_ga	ga_upper_80	ga_lower_80
126	USA	BA.5.9	2.0415277	2.0465727	2.036381
127	USA	BE.1	1.7328882	1.7332735	1.7324675
128	USA	BE.1.1	1.8090465	1.809624	1.8085017
129	USA	BE.1.1.1	2.0285597	2.0295253	2.027862
130	USA	BE.1.1.2	1.9392369	1.9451991	1.9333674
131	USA	BE.1.2	2.0372705	2.0411563	2.0331051
132	USA	BE.1.4	1.7872297	1.7892095	1.7859967
133	USA	BE.1.4.1	1.7636847	1.7728913	1.7576482
134	USA	BE.2	1.7952344	1.7984359	1.7916106
135	USA	BE.3	1.6959913	1.6969513	1.6950414
136	USA	BE.4	1.9157664	1.9200803	1.9109095
137	USA	BE.5	1.0	1.0	1.0
138	USA	BF.1	1.6623826	1.6650417	1.6596965
139	USA	BF.1.1	1.381166	1.3877913	1.3752246
140	USA	BF.10	1.8042346	1.8048052	1.803572
141	USA	BF.11	2.1127496	2.1160848	2.109605
142	USA	BF.13	1.9499102	1.9524908	1.9464417
143	USA	BF.14	2.028437	2.0348225	2.0226269
144	USA	BF.16	1.8993385	1.9046744	1.8925676
145	USA	BF.21	1.7307775	1.7320548	1.7295034
146	USA	BF.24	1.7511568	1.7532644	1.7495027
147	USA	BF.25	2.0002284	2.0053349	1.9950708
148	USA	BF.26	1.8534276	1.8543253	1.8526676
149	USA	BF.27	1.7447118	1.7458392	1.7436061
150	USA	BF.28	1.6845989	1.6863526	1.6828455
151	USA	BF.3	1.8413903	1.8458413	1.8361309
152	USA	BF.4	1.7556131	1.7583126	1.7527409
153	USA	BF.5	1.8763915	1.8773504	1.8756043
154	USA	BF.6	1.8241975	1.8332021	1.8152587
155	USA	BF.7	2.190925	2.1918895	2.189613
156	USA	BF.7.4	2.2220168	2.2248197	2.2192252
157	USA	BF.8	1.7056321	1.7066206	1.704147
158	USA	BF.9	1.7625439	1.7654808	1.7596587
159	USA	BG.2	1.2626237	1.2635407	1.2618225
160	USA	BG.4	1.2139949	1.2189736	1.2076421
161	USA	BG.5	1.3012313	1.3040463	1.298696
162	USA	BK.1	1.8466619	1.8499616	1.8436804
163	USA	BM.1.1	2.1992955	2.205492	2.194033
164	USA	BN.1	2.59434	2.6015215	2.5867069
165	USA	BQ.1	2.5129843	2.5144079	2.511753
166	USA	BQ.1.1	2.596185	2.5987713	2.5942612
167	USA	BQ.1.1.3	2.4538324	2.4610198	2.448106
168	USA	BQ.1.1.4	2.4110603	2.4182718	2.4049988
169	USA	BQ.1.1.5	2.4736028	2.4802754	2.46643
170	USA	BQ.1.11	2.4564588	2.462509	2.4522963
171	USA	BQ.1.12	2.417182	2.422347	2.412196
172	USA	BQ.1.13	2.3945587	2.4017262	2.388784
173	USA	BQ.1.14	2.4682207	2.4733322	2.4643178
174	USA	BQ.1.2	2.4502845	2.4542773	2.4473934
175	USA	BQ.1.3	2.4796314	2.4853272	2.4757519
176	USA	BQ.1.6	2.25831	2.2639673	2.2527134
177	USA	XAP	1.1021214	1.1077683	1.0950491
178	USA	XAS	1.7638329	1.768888	1.7581946
179	USA	XAZ	1.8666286	1.8751365	1.86128
180	USA	XBB.1	2.5154624	2.5250187	2.5078642
181	USA	XE	1.0512446	1.0581071	1.0441196
182	USA	XZ	1.1027403	1.1115091	1.0955119
183	USA	other	1.2550067	1.2585585	1.252156
