	location	variant	median_ga	ga_upper_80	ga_lower_80
0	USA	B.1.1.529	1.5950956	1.6061066	1.5850044
1	USA	BA.1	0.6462755	0.6489429	0.644454
2	USA	BA.1.1	0.6718935	0.6737284	0.67022383
3	USA	BA.1.1.1	0.6784698	0.69876975	0.65971243
4	USA	BA.1.1.10	0.74011064	0.754721	0.72983587
5	USA	BA.1.1.14	0.6896542	0.7056107	0.6739731
6	USA	BA.1.1.16	0.70974934	0.72350246	0.69610196
7	USA	BA.1.1.18	0.6357476	0.6407994	0.63167816
8	USA	BA.1.1.2	0.6071195	0.62646276	0.5860163
9	USA	BA.1.15	0.62820584	0.63341564	0.62365097
10	USA	BA.1.15.2	0.67889225	0.6915482	0.6621247
11	USA	BA.1.17.2	0.68717766	0.7024738	0.6717417
12	USA	BA.1.18	0.6854394	0.7008651	0.6732338
13	USA	BA.1.20	0.677179	0.6864348	0.6678602
14	USA	BA.2.1	1.0223404	1.0282264	1.0162083
15	USA	BA.2.10	0.88312566	0.8858104	0.8798028
16	USA	BA.2.10.1	0.90117824	0.9090263	0.8943784
17	USA	BA.2.12	1.2066834	1.2069424	1.2064445
18	USA	BA.2.12.1	1.2144918	1.2148685	1.2139971
19	USA	BA.2.13	1.2161423	1.2215371	1.2113428
20	USA	BA.2.13.1	1.3397486	1.3474612	1.3313221
21	USA	BA.2.16	0.9911268	1.0102409	0.9754908
22	USA	BA.2.18	1.2051504	1.2080135	1.2014923
23	USA	BA.2.20	1.035464	1.0452882	1.0294448
24	USA	BA.2.21	0.9898575	0.9965591	0.9837048
25	USA	BA.2.22	1.0579257	1.066927	1.0476393
26	USA	BA.2.23	1.0897746	1.0953844	1.084438
27	USA	BA.2.23.1	1.0455282	1.0547442	1.0365915
28	USA	BA.2.26	0.92618763	0.9317113	0.91934913
29	USA	BA.2.3	0.9868698	0.9880393	0.9855723
30	USA	BA.2.3.10	0.9875572	0.9993136	0.975906
31	USA	BA.2.3.14	1.00292	1.0186621	0.9928294
32	USA	BA.2.3.17	0.96437407	0.9704144	0.95967007
33	USA	BA.2.3.2	1.1201476	1.1340275	1.1062515
34	USA	BA.2.3.20	2.315827	2.3258443	2.3014088
35	USA	BA.2.3.4	0.9715473	0.97977954	0.96191525
36	USA	BA.2.3.6	1.0652502	1.0739938	1.0555074
37	USA	BA.2.31	1.0289028	1.0356934	1.0215878
38	USA	BA.2.32	0.97788244	0.9884016	0.97000253
39	USA	BA.2.36	1.164537	1.1729275	1.1578662
40	USA	BA.2.37	1.0006539	1.0079832	0.99384063
41	USA	BA.2.38	1.3361658	1.3439054	1.3300725
42	USA	BA.2.40.1	1.1780264	1.1881877	1.1660185
43	USA	BA.2.41	1.1758069	1.1879724	1.1658851
44	USA	BA.2.47	1.098419	1.1075697	1.083354
45	USA	BA.2.48	1.1651864	1.1696368	1.1595911
46	USA	BA.2.5	0.977985	0.99425554	0.96317613
47	USA	BA.2.52	1.2646241	1.2794	1.2508405
48	USA	BA.2.56	1.2916799	1.2988081	1.2836652
49	USA	BA.2.59	1.1023982	1.1117127	1.0941536
50	USA	BA.2.6	1.0119933	1.0224708	1.0010319
51	USA	BA.2.65	1.0779665	1.0826993	1.0741204
52	USA	BA.2.7	0.9138374	0.91728467	0.91054565
53	USA	BA.2.72	1.1279825	1.1344504	1.1188047
54	USA	BA.2.73	1.0236235	1.0328286	1.0164033
55	USA	BA.2.75	2.0212743	2.023563	2.019051
56	USA	BA.2.75.1	2.0139308	2.0226836	2.0064638
57	USA	BA.2.75.2	2.1802673	2.1863236	2.1737905
58	USA	BA.2.75.5	2.06356	2.0704796	2.0570066
59	USA	BA.2.76	1.5535817	1.5643628	1.5465766
60	USA	BA.2.8	1.0329404	1.0472105	1.0228529
61	USA	BA.2.9	1.0116603	1.012843	1.0104728
62	USA	BA.2.9.2	0.82702345	0.8367133	0.82036257
63	USA	BA.2.9.3	1.2207316	1.232661	1.209458
64	USA	BA.4	1.571189	1.5713239	1.5710571
65	USA	BA.4.1	1.5506368	1.5512772	1.5500115
66	USA	BA.4.1.1	1.527653	1.5326297	1.5226934
67	USA	BA.4.1.6	1.5222898	1.5268271	1.5171522
68	USA	BA.4.1.8	1.8672769	1.8721077	1.8627051
69	USA	BA.4.1.9	1.9543452	1.9652473	1.9417425
70	USA	BA.4.2	1.56574	1.5683095	1.5634712
71	USA	BA.4.3	1.5680583	1.5759623	1.560196
72	USA	BA.4.4	1.5645926	1.5668463	1.5625943
73	USA	BA.4.6	1.9084479	1.9088379	1.9079658
74	USA	BA.5	1.7718323	1.7719505	1.7717075
75	USA	BA.5.1	1.7845749	1.7847831	1.7842988
76	USA	BA.5.1.1	1.7136444	1.714899	1.712577
77	USA	BA.5.1.10	1.8315302	1.8337361	1.8297851
78	USA	BA.5.1.12	2.0252192	2.0334265	2.0199091
79	USA	BA.5.1.18	2.0529838	2.057378	2.0486894
80	USA	BA.5.1.2	1.8646934	1.8674011	1.862189
81	USA	BA.5.1.21	1.8466138	1.8538489	1.8338367
82	USA	BA.5.1.22	1.8239592	1.8260417	1.8219382
83	USA	BA.5.1.23	1.8130013	1.8148341	1.8110044
84	USA	BA.5.1.24	1.7875867	1.7910821	1.7841241
85	USA	BA.5.1.25	1.7793887	1.7813995	1.7774289
86	USA	BA.5.1.27	2.2125874	2.2194562	2.2040484
87	USA	BA.5.1.3	1.7866375	1.7896656	1.7840147
88	USA	BA.5.1.30	1.8244791	1.825778	1.82302
89	USA	BA.5.1.5	2.0321012	2.0356703	2.0278807
90	USA	BA.5.1.6	1.8483218	1.8515145	1.8455313
91	USA	BA.5.1.7	1.9008723	1.9058346	1.8955401
92	USA	BA.5.1.8	1.7361228	1.7415887	1.729718
93	USA	BA.5.10.1	2.0003464	2.0088289	1.9928513
94	USA	BA.5.2	1.8628262	1.8630204	1.8626653
95	USA	BA.5.2.1	1.791302	1.7915708	1.7910995
96	USA	BA.5.2.16	1.9303472	1.9355614	1.9242821
97	USA	BA.5.2.18	2.153451	2.1639578	2.1414452
98	USA	BA.5.2.19	1.9273856	1.933648	1.920357
99	USA	BA.5.2.2	1.7325726	1.7405728	1.7267439
100	USA	BA.5.2.20	1.8742964	1.8762289	1.8726768
101	USA	BA.5.2.21	1.8546808	1.8561779	1.8528256
102	USA	BA.5.2.22	1.941731	1.9455131	1.9383435
103	USA	BA.5.2.23	2.227686	2.2346425	2.221427
104	USA	BA.5.2.24	2.137971	2.148315	2.1309474
105	USA	BA.5.2.26	1.9882965	1.9992396	1.9776664
106	USA	BA.5.2.27	1.8599908	1.864959	1.8552649
107	USA	BA.5.2.28	1.8881729	1.8926017	1.8819902
108	USA	BA.5.2.3	1.8603812	1.8640517	1.8563063
109	USA	BA.5.2.31	1.9146538	1.9186683	1.9115026
110	USA	BA.5.2.33	1.8846068	1.8928616	1.878178
111	USA	BA.5.2.34	2.3339796	2.3403628	2.3284488
112	USA	BA.5.2.6	2.1664672	2.1698549	2.1624436
113	USA	BA.5.2.7	1.9849589	1.9962767	1.9740566
114	USA	BA.5.2.8	1.8533144	1.8605509	1.8447635
115	USA	BA.5.2.9	1.8499558	1.8505746	1.8492516
116	USA	BA.5.3	1.6110948	1.6112067	1.6108756
117	USA	BA.5.3.1	1.728509	1.7287444	1.7281997
118	USA	BA.5.5	1.6260822	1.6264715	1.625653
119	USA	BA.5.5.1	1.9181632	1.9208107	1.9158043
120	USA	BA.5.5.2	1.7318302	1.7362549	1.7270873
121	USA	BA.5.5.3	1.7331189	1.739755	1.7270337
122	USA	BA.5.6	1.7157435	1.7161815	1.7151643
123	USA	BA.5.6.1	1.9116309	1.9232264	1.8987308
124	USA	BA.5.6.2	1.8717911	1.8762004	1.8682419
125	USA	BA.5.8	1.6897503	1.6922618	1.6875404
