	variant	parent	child-ga	parent-ga	variant-parent-ratio
0	BA.1.1	BA.1	0.67734087	0.647601	1.045923137858033
1	BA.1.1.1	BA.1.1	0.67577994	0.67734087	0.9976955030042702
2	BA.1.1.10	BA.1.1	0.7585253	0.67734087	1.1198575689076609
3	BA.1.1.14	BA.1.1	0.68747836	0.67734087	1.0149666001993944
4	BA.1.1.16	BA.1.1	0.72605366	0.67734087	1.0719176889473687
5	BA.1.1.18	BA.1.1	0.63906026	0.67734087	0.9434839802299247
6	BA.1.1.2	BA.1.1	0.6186259	0.67734087	0.9133154773312291
7	BA.1.15	BA.1	0.6347995	0.647601	0.9802324270654307
8	BA.1.15.2	BA.1.15	0.6850354	0.6347995	1.0791366407818532
9	BA.1.17.2	BA.1	0.69048846	0.647601	1.0662251293620608
10	BA.1.18	BA.1	0.6864977	0.647601	1.060062754690002
11	BA.1.20	BA.1	0.65323865	0.647601	1.0087054374529998
12	BA.2.10.1	BA.2.10	0.9031741	0.8854682	1.0199960879453378
13	BA.2.12.1	BA.2.12	1.2195985	1.2101667	1.007793802291866
14	BA.2.13.1	BA.2.13	1.2680465	1.2680465	1.0
15	BA.2.23.1	BA.2.23	1.0871167	1.0871167	1.0
16	BA.2.3.10	BA.2.3	0.99007624	0.99007624	1.0
17	BA.2.3.14	BA.2.3	0.99007624	0.99007624	1.0
18	BA.2.3.17	BA.2.3	0.99007624	0.99007624	1.0
19	BA.2.3.2	BA.2.3	1.1275476	0.99007624	1.1388492667998982
20	BA.2.3.20	BA.2.3	2.3785481	0.99007624	2.402388830177361
21	BA.2.3.4	BA.2.3	0.99007624	0.99007624	1.0
22	BA.2.3.6	BA.2.3	0.99007624	0.99007624	1.0
23	BA.2.75.1	BA.2.75	0.050065827	0.051925015	0.9641947527603025
24	BA.2.75.2	BA.2.75	0.0642575	0.051925015	1.2375056608072237
25	BA.2.75.5	BA.2.75	0.048186705	0.051925015	0.9280056057759445
26	BA.2.9.2	BA.2.9	1.0108103	1.0108103	1.0
27	BA.2.9.3	BA.2.9	1.0108103	1.0108103	1.0
28	BA.4.1	BA.4	1.5674098	1.5758088	0.9946700386493591
29	BA.4.1.1	BA.4.1	1.5674098	1.5674098	1.0
30	BA.4.1.6	BA.4.1	1.5674098	1.5674098	1.0
31	BA.4.1.8	BA.4.1	1.5674098	1.5674098	1.0
32	BA.4.1.9	BA.4.1	1.5674098	1.5674098	1.0
33	BA.4.2	BA.4	1.5758088	1.5758088	1.0
34	BA.4.3	BA.4	1.5815974	1.5758088	1.0036734152011335
35	BA.4.4	BA.4	1.5815974	1.5758088	1.0036734152011335
36	BA.4.6	BA.4	1.9104873	1.5758088	1.2123852208465902
37	BA.5.1	BA.5	1.7963526	1.7963526	1.0
38	BA.5.1.1	BA.5.1	1.7963526	1.7963526	1.0
39	BA.5.1.10	BA.5.1	1.8393384	1.7963526	1.0239294891214563
40	BA.5.1.12	BA.5.1	1.7963526	1.7963526	1.0
41	BA.5.1.18	BA.5.1	2.0617852	1.7963526	1.1477619705619042
42	BA.5.1.2	BA.5.1	1.7963526	1.7963526	1.0
43	BA.5.1.21	BA.5.1	0.26363552	1.7963526	0.14676156563026657
44	BA.5.1.22	BA.5.1	1.7963526	1.7963526	1.0
45	BA.5.1.23	BA.5.1	1.7963526	1.7963526	1.0
46	BA.5.1.24	BA.5.1	1.7963526	1.7963526	1.0
47	BA.5.1.25	BA.5.1	1.7963526	1.7963526	1.0
48	BA.5.1.27	BA.5.1	2.2475054	1.7963526	1.2511493567576877
49	BA.5.1.3	BA.5.1	1.7963526	1.7963526	1.0
50	BA.5.1.30	BA.5.1	1.7963526	1.7963526	1.0
51	BA.5.1.5	BA.5.1	1.7963526	1.7963526	1.0
52	BA.5.1.6	BA.5.1	1.7963526	1.7963526	1.0
53	BA.5.1.7	BA.5.1	1.7963526	1.7963526	1.0
54	BA.5.1.8	BA.5.1	1.7963526	1.7963526	1.0
55	BA.5.10.1	BA.5	0.3484869	1.7963526	0.19399693579089092
56	BA.5.2	BA.5	1.8212128	1.7963526	1.0138392651865786
57	BA.5.2.1	BA.5.2	1.8212128	1.8212128	1.0
58	BA.5.2.16	BA.5.2	0.10882067	1.8212128	0.059751759926132735
59	BA.5.2.18	BA.5.2	2.1979482	1.8212128	1.2068596267278595
60	BA.5.2.19	BA.5.2	0.11594676	1.8212128	0.06366458658757504
61	BA.5.2.2	BA.5.2	0.11594676	1.8212128	0.06366458658757504
62	BA.5.2.20	BA.5.2	0.11594676	1.8212128	0.06366458658757504
63	BA.5.2.21	BA.5.2	0.11594676	1.8212128	0.06366458658757504
64	BA.5.2.22	BA.5.2	0.11594676	1.8212128	0.06366458658757504
65	BA.5.2.23	BA.5.2	1.8212128	1.8212128	1.0
66	BA.5.2.24	BA.5.2	0.108820684	1.8212128	0.059751767613317894
67	BA.5.2.26	BA.5.2	0.108820684	1.8212128	0.059751767613317894
68	BA.5.2.27	BA.5.2	0.108820684	1.8212128	0.059751767613317894
69	BA.5.2.28	BA.5.2	0.11594676	1.8212128	0.06366458658757504
70	BA.5.2.3	BA.5.2	0.108820684	1.8212128	0.059751767613317894
71	BA.5.2.31	BA.5.2	0.108820684	1.8212128	0.059751767613317894
72	BA.5.2.33	BA.5.2	0.108820684	1.8212128	0.059751767613317894
73	BA.5.2.34	BA.5.2	0.11594676	1.8212128	0.06366458658757504
74	BA.5.2.6	BA.5.2	0.14005761	1.8212128	0.07690348431550667
75	BA.5.2.7	BA.5.2	0.11594676	1.8212128	0.06366458658757504
76	BA.5.2.8	BA.5.2	0.11594676	1.8212128	0.06366458658757504
77	BA.5.2.9	BA.5.2	1.8212128	1.8212128	1.0
78	BA.5.3	BA.5	1.6210409	1.7963526	0.9024068548680253
79	BA.5.3.1	BA.5.3	1.711668	1.6210409	1.0559067325198273
80	BA.5.5	BA.5	1.6464916	1.7963526	0.9165748417098069
81	BA.5.5.1	BA.5.5	1.6464916	1.6464916	1.0
82	BA.5.5.2	BA.5.5	1.6464916	1.6464916	1.0
83	BA.5.5.3	BA.5.5	1.6464916	1.6464916	1.0
84	BA.5.6	BA.5	1.7239653	1.7963526	0.959703178540783
85	BA.5.6.1	BA.5.6	1.9371914	1.7239653	1.1236835219363175
86	BA.5.6.2	BA.5.6	0.27993828	1.7239653	0.16238046090602867
87	BA.5.8	BA.5	1.6995759	1.7963526	0.9461259999846354
88	BA.5.9	BA.5	1.7963526	1.7963526	1.0
89	BE.1	BA.5.3.1	1.7374033	1.711668	1.01503521710986
90	BE.1.1	BE.1	0.2625179	1.7374033	0.15109784815074315
91	BE.1.1.1	BE.1.1	0.11326863	0.2625179	0.43147012070415003
92	BE.1.1.2	BE.1.1	0.22927786	0.2625179	0.8733799104746761
93	BE.1.2	BE.1	2.0986922	1.7374033	1.2079476308120285
94	BE.1.4	BE.1	1.790708	1.7374033	1.0306806715516197
95	BE.1.4.1	BE.1.4	1.790708	1.790708	1.0
96	BE.2	BA.5.3.1	1.711668	1.711668	1.0
97	BE.3	BA.5.3.1	1.711668	1.711668	1.0
98	BE.4	BA.5.3.1	1.9222833	1.711668	1.1230468174903077
99	BE.5	BA.5.3.1	1.711668	1.711668	1.0
100	BF.1	BA.5.2.1	1.6226875	1.8212128	0.8909928043554273
101	BF.1.1	BF.1	1.6226875	1.6226875	1.0
102	BF.10	BA.5.2.1	1.8212128	1.8212128	1.0
103	BF.11	BA.5.2.1	2.19993	1.8212128	1.2079478026949955
104	BF.13	BA.5.2.1	1.8212128	1.8212128	1.0
105	BF.14	BA.5.2.1	1.8212128	1.8212128	1.0
106	BF.16	BA.5.2.1	1.8212128	1.8212128	1.0
107	BF.21	BA.5.2.1	1.7503301	1.8212128	0.9610793972016889
108	BF.24	BA.5.2.1	1.8466091	1.8212128	1.013944718596311
109	BF.25	BA.5.2.1	1.8212128	1.8212128	1.0
110	BF.26	BA.5.2.1	1.8664434	1.8212128	1.0248354283475276
111	BF.27	BA.5.2.1	1.7503301	1.8212128	0.9610793972016889
112	BF.28	BA.5.2.1	1.8212128	1.8212128	1.0
113	BF.3	BA.5.2.1	1.8586062	1.8212128	1.0205321420978373
114	BF.4	BA.5.2.1	1.8212128	1.8212128	1.0
115	BF.5	BA.5.2.1	1.8466091	1.8212128	1.013944718596311
116	BF.6	BA.5.2.1	1.8212128	1.8212128	1.0
