	variant	parent	child-ga	parent-ga	variant-parent-ratio
0	BQ.1.1	BQ.1	0.17054105	0.1536777	1.1097319259723435
1	BQ.1.1.3	BQ.1.1	0.17054105	0.17054105	1.0
2	BQ.1.1.4	BQ.1.1	0.17054105	0.17054105	1.0
3	BQ.1.1.5	BQ.1.1	0.17054105	0.17054105	1.0
4	BQ.1.3	BQ.1	0.15367794	0.1536777	1.0000015617099944
5	BQ.1.6	BQ.1	0.15367794	0.1536777	1.0000015617099944
6	BQ.1	BE.1.1.1	0.1536777	-0.5920198	-0.2595820274929994
7	BQ.1.11	BQ.1	0.1536777	0.1536777	1.0
8	BQ.1.12	BQ.1	0.1536777	0.1536777	1.0
9	BQ.1.13	BQ.1	0.1536777	0.1536777	1.0
10	BQ.1.14	BQ.1	0.1536777	0.1536777	1.0
11	BQ.1.2	BQ.1	0.1536777	0.1536777	1.0
12	BA.2.3.20	BA.2.3	0.1328572	-0.07582462	-1.7521644025383842
13	BA.5.1.27	BA.5.1	0.1193645	0.06601626	1.8081075783450926
14	BM.1.1	BA.2.75	0.11863834	-0.777725	-0.15254535986370504
15	BF.7	BA.5.2.1	0.116395	0.06928873	1.6798547180760852
16	BF.7.4	BF.7	0.116395	0.116395	1.0
17	BF.11	BA.5.2.1	0.11427036	0.06928873	1.649191145515295
18	BA.5.2.18	BA.5.2	0.11405577	0.06928873	1.6460941050586435
19	BE.1.2	BE.1	0.10305342	0.058071792	1.774586532476904
20	BA.5.1.18	BA.5.1	0.09882909	0.06601626	1.497041637923748
21	BA.5.6.1	BA.5.6	0.08398789	0.056223094	1.4938325877263174
22	BE.4	BA.5.3.1	0.08214849	0.05451864	1.5067963911058677
23	BA.4.6	BA.4	0.08068293	0.034828246	2.3165946973040215
24	BF.26	BA.5.2.1	0.07512969	0.06928873	1.0842988462914531
25	BF.3	BA.5.2.1	0.07412779	0.06928873	1.0698390632935542
26	BF.24	BA.5.2.1	0.07258594	0.06928873	1.047586526697776
27	BF.5	BA.5.2.1	0.07258594	0.06928873	1.047586526697776
28	BA.5.1.10	BA.5.1	0.07164663	0.06601626	1.0852876245943046
29	BK.1	BA.5.1.10	0.07164663	0.07164663	1.0
30	BA.5.2	BA.5	0.06928873	0.06601626	1.0495706663782531
31	BA.5.2.1	BA.5.2	0.06928873	0.06928873	1.0
32	BA.5.2.23	BA.5.2	0.06928873	0.06928873	1.0
33	BA.5.2.9	BA.5.2	0.06928873	0.06928873	1.0
34	BF.10	BA.5.2.1	0.06928873	0.06928873	1.0
35	BF.13	BA.5.2.1	0.06928873	0.06928873	1.0
36	BF.14	BA.5.2.1	0.06928873	0.06928873	1.0
37	BF.16	BA.5.2.1	0.06928873	0.06928873	1.0
38	BF.25	BA.5.2.1	0.06928873	0.06928873	1.0
39	BF.28	BA.5.2.1	0.06928873	0.06928873	1.0
40	BF.4	BA.5.2.1	0.06928873	0.06928873	1.0
41	BF.6	BA.5.2.1	0.06928873	0.06928873	1.0
42	BF.8	BA.5.2.1	0.06928873	0.06928873	1.0
43	BF.9	BA.5.2.1	0.06928873	0.06928873	1.0
44	BA.5	BA.2	0.06601626	-0.07345003	-0.8987914640742828
45	BA.5.1	BA.5	0.06601626	0.06601626	1.0
46	BA.5.1.1	BA.5.1	0.06601626	0.06601626	1.0
47	BA.5.1.12	BA.5.1	0.06601626	0.06601626	1.0
48	BA.5.1.2	BA.5.1	0.06601626	0.06601626	1.0
49	BA.5.1.22	BA.5.1	0.06601626	0.06601626	1.0
50	BA.5.1.23	BA.5.1	0.06601626	0.06601626	1.0
51	BA.5.1.24	BA.5.1	0.06601626	0.06601626	1.0
52	BA.5.1.25	BA.5.1	0.06601626	0.06601626	1.0
53	BA.5.1.3	BA.5.1	0.06601626	0.06601626	1.0
54	BA.5.1.30	BA.5.1	0.06601626	0.06601626	1.0
55	BA.5.1.5	BA.5.1	0.06601626	0.06601626	1.0
56	BA.5.1.6	BA.5.1	0.06601626	0.06601626	1.0
57	BA.5.1.7	BA.5.1	0.06601626	0.06601626	1.0
58	BA.5.1.8	BA.5.1	0.06601626	0.06601626	1.0
59	BA.5.9	BA.5	0.06601626	0.06601626	1.0
60	BE.1.4	BE.1	0.06526691	0.058071792	1.1239003955655442
61	BE.1.4.1	BE.1.4	0.06526691	0.06526691	1.0
62	BF.21	BA.5.2.1	0.059836745	0.06928873	0.8635855354831874
63	BF.27	BA.5.2.1	0.059836745	0.06928873	0.8635855354831874
64	BE.1	BA.5.3.1	0.058071792	0.05451864	1.0651731591250257
65	BA.5.6	BA.5	0.056223094	0.06601626	0.8516552437232889
66	BA.5.3.1	BA.5.3	0.05451864	0.041566312	1.3116063797047954
67	BE.2	BA.5.3.1	0.05451864	0.05451864	1.0
68	BE.3	BA.5.3.1	0.05451864	0.05451864	1.0
69	BE.5	BA.5.3.1	0.05451864	0.05451864	1.0
70	BA.5.8	BA.5	0.052830637	0.06601626	0.8002670402715938
