	variant	parent	child-ga	parent-ga	variant-parent-ratio
71	BA.5.5	BA.5	0.04527539	0.06601626	0.6858217960241917
72	BA.5.5.1	BA.5.5	0.04527539	0.04527539	1.0
73	BA.5.5.2	BA.5.5	0.04527539	0.04527539	1.0
74	BA.5.5.3	BA.5.5	0.04527539	0.04527539	1.0
75	BF.1	BA.5.2.1	0.04180801	0.06928873	0.603388314376667
76	BF.1.1	BF.1	0.04180801	0.04180801	1.0
77	BA.5.3	BA.5	0.041566312	0.06601626	0.6296374862798954
78	BA.4.3	BA.4	0.035701275	0.034828246	1.025066694429573
79	BA.4.4	BA.4	0.035701275	0.034828246	1.025066694429573
80	BA.4	BA.2	0.034828246	-0.07345003	-0.4741760622834327
81	BA.4.2	BA.4	0.034828246	0.034828246	1.0
82	BA.4.1	BA.4	0.033555806	0.034828246	0.9634652861932812
83	BA.4.1.1	BA.4.1	0.033555806	0.033555806	1.0
84	BA.4.1.6	BA.4.1	0.033555806	0.033555806	1.0
85	BA.4.1.8	BA.4.1	0.033555806	0.033555806	1.0
86	BA.4.1.9	BA.4.1	0.033555806	0.033555806	1.0
87	BA.2.76	BA.2	0.033245414	-0.07345003	-0.45262628211315914
88	B.1.1.529	BA.2	0.0	-0.07345003	-0.0
89	other	BA.2	0.0	-0.07345003	-0.0
90	BA.2.38	BA.2	-0.0022744536	-0.07345003	0.03096599960544604
91	BA.2.13	BA.2	-0.016907752	-0.07345003	0.23019394273902954
92	BA.2.13.1	BA.2.13	-0.016907752	-0.016907752	1.0
93	BA.2.56	BA.2	-0.016907752	-0.07345003	0.23019394273902954
94	BA.2.12.1	BA.2.12	-0.02618295	-0.028031409	0.9340575780546743
95	BG.2	BA.2.12.1	-0.02618295	-0.02618295	1.0
96	BG.4	BA.2.12.1	-0.02618295	-0.02618295	1.0
97	BG.5	BA.2.12.1	-0.02618295	-0.02618295	1.0
98	BA.2.12	BA.2	-0.028031409	-0.07345003	0.38163917700237837
99	BA.2.40.1	BA.2	-0.033002317	-0.07345003	0.4493165897958109
100	BA.2.3.2	BA.2.3	-0.044867873	-0.07582462	0.5917322500264427
101	BA.2.23	BA.2	-0.053562164	-0.07345003	0.7292327041935858
102	BA.2.23.1	BA.2.23	-0.053562164	-0.053562164	1.0
103	BA.2.1	BA.2	-0.059247196	-0.07345003	0.8066326998096529
104	BA.2.18	BA.2	-0.059247196	-0.07345003	0.8066326998096529
105	BA.2.20	BA.2	-0.059247196	-0.07345003	0.8066326998096529
106	BA.2.21	BA.2	-0.059247196	-0.07345003	0.8066326998096529
107	BA.2.22	BA.2	-0.059247196	-0.07345003	0.8066326998096529
108	BA.2.26	BA.2	-0.059247196	-0.07345003	0.8066326998096529
109	BA.2.32	BA.2	-0.059247196	-0.07345003	0.8066326998096529
110	BA.2.36	BA.2	-0.059247196	-0.07345003	0.8066326998096529
111	BA.2.37	BA.2	-0.059247196	-0.07345003	0.8066326998096529
112	BA.2.41	BA.2	-0.059247196	-0.07345003	0.8066326998096529
113	BA.2.47	BA.2	-0.059247196	-0.07345003	0.8066326998096529
114	BA.2.48	BA.2	-0.059247196	-0.07345003	0.8066326998096529
115	BA.2.5	BA.2	-0.059247196	-0.07345003	0.8066326998096529
116	BA.2.52	BA.2	-0.059247196	-0.07345003	0.8066326998096529
117	BA.2.59	BA.2	-0.059247196	-0.07345003	0.8066326998096529
118	BA.2.6	BA.2	-0.059247196	-0.07345003	0.8066326998096529
119	BA.2.65	BA.2	-0.059247196	-0.07345003	0.8066326998096529
120	BA.2.7	BA.2	-0.059247196	-0.07345003	0.8066326998096529
121	BA.2.72	BA.2	-0.059247196	-0.07345003	0.8066326998096529
122	BA.2.73	BA.2	-0.059247196	-0.07345003	0.8066326998096529
123	BA.2.8	BA.2	-0.059247196	-0.07345003	0.8066326998096529
124	BA.2.31	BA.2	-0.06453639	-0.07345003	0.8786434804723702
125	BA.2.9	BA.2	-0.07088995	-0.07345003	0.965145283126501
126	BA.2.9.2	BA.2.9	-0.07088995	-0.07088995	1.0
127	BA.2.9.3	BA.2.9	-0.07088995	-0.07088995	1.0
128	BA.2.16	BA.2	-0.07345003	-0.07345003	1.0
129	BA.2.3	BA.2	-0.07582462	-0.07345003	1.0323293264822355
130	BA.2.3.10	BA.2.3	-0.07582462	-0.07582462	1.0
131	BA.2.3.14	BA.2.3	-0.07582462	-0.07582462	1.0
132	BA.2.3.17	BA.2.3	-0.07582462	-0.07582462	1.0
133	BA.2.3.4	BA.2.3	-0.07582462	-0.07582462	1.0
134	BA.2.3.6	BA.2.3	-0.07582462	-0.07582462	1.0
135	BA.2.10.1	BA.2.10	-0.097697616	-0.10241163	0.9539699348599373
136	BA.2.10	BA.2	-0.10241163	-0.07345003	1.3943034468467883
137	BA.1.1.10	BA.1.1	-0.13925457	-0.16620731	0.8378366150080884
138	BA.1.1.16	BA.1.1	-0.1496718	-0.16620731	0.9005127391809662
139	BA.1.17.2	BA.1	-0.16163003	-0.17689776	0.913691784452217
140	BA.1.1.14	BA.1.1	-0.16267025	-0.16620731	0.9787189865475832
141	BA.1.18	BA.1	-0.16301012	-0.17689776	0.9214934095264973
142	BA.1.15.2	BA.1.15	-0.16351783	-0.18165147	0.9001734475366481
143	BA.1.1	BA.1	-0.16620731	-0.17689776	0.9395670697017305
144	BA.1.1.1	BA.1.1	-0.16675663	-0.16620731	1.0033050291229668
145	BA.1.20	BA.1	-0.17483401	-0.17689776	0.9883336566839513
146	BA.1	BA.2	-0.17689776	-0.07345003	2.408409635775506
147	BA.1.1.18	BA.1.1	-0.18005872	-0.16620731	1.0833381516131873
148	BA.1.15	BA.1	-0.18165147	-0.17689776	1.026872641010265
149	BA.1.1.2	BA.1.1	-0.18779635	-0.16620731	1.1298922412016656
150	BA.5.10.1	BA.5	-0.32443923	0.06601626	-4.914535146341221
151	BA.5.6.2	BA.5.6	-0.3765896	0.056223094	-6.698130131365592
152	BA.5.1.21	BA.5.1	-0.3908757	0.06601626	-5.920900396356898
153	BE.1.1	BE.1	-0.3918872	0.058071792	-6.7483228346044495
154	BE.1.1.2	BE.1.1	-0.42412162	-0.3918872	1.0822543323691103
155	BA.5.2.6	BA.5.2	-0.5414742	0.06928873	-7.81475140329459
156	BA.5.2.19	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
157	BA.5.2.2	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
158	BA.5.2.20	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
159	BA.5.2.21	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
160	BA.5.2.22	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
161	BA.5.2.28	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
162	BA.5.2.34	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
163	BA.5.2.7	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
164	BA.5.2.8	BA.5.2	-0.5864558	0.06928873	-8.463942115839039
165	BE.1.1.1	BE.1.1	-0.5920198	-0.3918872	1.5106893003905206
166	BA.5.2.24	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
167	BA.5.2.26	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
168	BA.5.2.27	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
169	BA.5.2.3	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
170	BA.5.2.31	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
171	BA.5.2.33	BA.5.2	-0.6015581	0.06928873	-8.681903969087035
172	BA.5.2.16	BA.5.2	-0.60155815	0.06928873	-8.68190469070511
173	BA.2.75.2	BA.2.75	-0.72698736	-0.777725	0.9347614645279501
174	BN.1	BA.2.75.5	-0.7598452	-0.7955148	0.9551616135865731
175	BA.2.75	BA.2	-0.777725	-0.07345003	10.58849125044605
176	BA.2.75.1	BA.2.75	-0.7864064	-0.777725	1.0111625574592562
177	BA.2.75.5	BA.2.75	-0.7955148	-0.777725	1.0228741521746119
